Initials,Team Number,Match Number,Robot Position,Starting Location,No Show,Taxied,Auto Upper Hub Scored,Auto Upper Hub Missed,Auto Lower Hub Scored,Upper Hub Scored,Lower Hub Scored,Was Defended,Climb,Robot Disabled?,Comments
GC,2642,19,Red 1,Left,FALSE,TRUE,1,1,0,3,1,FALSE,High,FALSE,He do be wobbly tho
Cm,4561,19,Red 3,Middle,FALSE,FALSE,0,0,0,14,0,FALSE,NA,FALSE,I love this bots shooting power!!!
GH,401,19,Blue 2,Right,FALSE,TRUE,2,0,0,17,0,FALSE,Traversal,FALSE,
RO,9998,19,Blue 1,Middle,FALSE,TRUE,0,0,0,0,0,FALSE,NA,FALSE,Can’t shoot
TR,9998,1.5,Red 2,Left,FALSE,TRUE,0,0,0,0,0,FALSE,NA,FALSE,You already know 
Cm,3737,1.5,Red 3,Middle,FALSE,TRUE,1,0,0,8,0,FALSE,Traversal,FALSE,
GH,2363,1.5,Blue 2,Right,FALSE,TRUE,2,0,0,7,0,FALSE,NA,FALSE,
RO,2890,1.5,Blue 3,Middle,FALSE,TRUE,2,0,0,0,0,FALSE,NA,FALSE,Did not move from the blue side of the field 
GC,900,1.5,Red 1,Right,FALSE,FALSE,0,0,0,0,0,FALSE,NA,TRUE,Did not move once this match
ZO,422,1.5,Blue 1,Left,FALSE,TRUE,2,0,0,8,0,FALSE,Traversal,FALSE,
Dcd :),1610,20,Red 1,Left,FALSE,TRUE,1,1,0,0,7,FALSE,Medium,FALSE,
IB,8590,20,Red 2,Middle,FALSE,FALSE,0,0,0,0,0,FALSE,NA,TRUE,The robot did not move at all the entire match
PC,422,20,Blue 3,Middle,FALSE,TRUE,2,2,0,10,0,FALSE,NA,FALSE,
Cm,9991,20,Red 3,Right,FALSE,TRUE,2,0,0,0,0,TRUE,High,FALSE,
PV,900,20,Blue 2,Left,FALSE,FALSE,0,0,0,3,0,FALSE,Traversal,FALSE,disabled for first half
